DFS - Arvore de busca a partir do vertice 1
Vertice	Pai	Nivel
1296		2217	2124
1297		507	1089
1298		1766	1735
1299		2325	1573
1300		1853	271
1301		1680	2347
1302		506	430
1303		874	1657
1304		1425	1648
1305		2212	2747
1306		2119	2242
1307		398	1815
1308		1530	995
1309		2133	1402
1310		2507	1844
1311		1531	1481
1312		1112	1899
1313		728	1370
1314		1633	1413
1315		1799	1489
1316		791	455
1317		1097	1368
1318		2258	2433
1319		2112	2175
1320		2508	1095
1321		610	1031
1322		1876	998
1323		2288	1793
1324		743	592
1325		1739	1780
1326		997	1535
1327		2789	1936
1328		3745	3331
1329		1728	1024
1330		760	668
1331		682	1142
1332		2329	917
1333		1370	1256
1334		1900	1048
1335		1863	1522
1336		2740	1910
1337		1741	1778
1338		1578	1588
1339		1841	986
1340		1043	925
1341		1235	2151
1342		627	530
1343		872	1026
1344		1620	786
1345		2036	1460
1346		965	1621
1347		802	703
1348		1207	1975
1349		2460	2226
1350		1320	1096
1351		1526	1408
1352		1121	1317
1353		2282	1696
1354		1815	1067
1355		3771	1984
1356		407	1264
1357		1440	1604
1358		2924	2382
1359		446	645
1360		2117	2075
1361		1108	777
1362		3439	1629
1363		1776	301
1364		1099	1760
1365		843	815
1366		48	958
1367		1044	1050
1368		1025	927
1369		751	1151
1370		1075	1255
1371		1716	1561
1372		2480	2119
1373		242	650
1374		1277	1981
1375		1952	1768
1376		1428	966
1377		879	1519
1378		1602	695
1379		1255	851
1380		826	1979
1381		2262	2296
1382		1232	1218
1383		3436	2454
1384		1915	2068
1385		2540	2095
1386		1307	1816
1387		233	859
1388		557	737
1389		1228	1189
1390		1136	1507
1391		1313	1371
1392		2630	1286
1393		1187	1323
1394		2817	1578
1395		1394	1579
1396		1045	2917
1397		1746	1558
1398		128	1626
1399		3051	2549
1400		362	200
1401		2699	3400
1402		2589	1858
1403		1513	1483
1404		1280	2291
1405		1279	1182
1406		3067	1390
1407		1629	2034
1408		501	1281
1409		2569	2551
1410		1946	1962
1411		2318	1692
1412		1945	1867
1413		1737	1525
1414		1036	1299
1415		1289	1825
1416		2763	478
1417		2317	2376
1418		3327	1583
1419		1436	2170
1420		2445	2011
1421		2535	2804
1422		1520	1834
1423		1275	1787
1424		1176	1319
1425		656	1647
1426		1347	704
1427		487	841
1428		289	965
1429		2745	1990
1430		2597	1670
1431		302	1005
1432		624	1017
1433		1281	1107
1434		508	1238
1435		144	768
1436		2393	2169
1437		631	570
1438		334	817
1439		971	950
1440		909	1603
1441		883	1568
1442		2352	2652
1443		3130	3683
1444		2284	2692
1445		2671	1924
1446		2082	1652
1447		3337	2144
1448		275	376
1449		1450	1229
1450		1538	1228
1451		1095	1011
1452		1221	1465
1453		211	1637
1454		579	820
1455		3356	2876
1456		3298	1901
1457		1446	1653
1458		1702	1148
1459		1540	1119
1460		1331	1143
1461		342	971
1462		1346	1622
1463		1261	1100
1464		778	1226
1465		851	280
1466		1190	205
1467		595	947
1468		5478	2885
1469		2872	1057
1470		1769	1352
1471		385	1766
1472		1333	1257
1473		205	86
1474		1319	2176
1475		2970	3115
1476		2338	1447
1477		1452	1466
1478		1974	1703
1479		1250	1125
1480		905	1721
1481		327	490
1482		416	940
1483		888	1384
1484		1657	1585
1485		3087	2108
1486		1547	1550
1487		89	1312
1488		445	1115
1489		632	1235
1490		1348	1976
1491		2977	2514
1492		11	59
1493		2398	1744
1494		2026	2013
1495		815	1380
1496		814	1452
1497		893	1609
1498		648	1208
1499		2663	2141
1500		811	1262
1501		1870	1293
1502		1226	1941
1503		1541	1334
1504		2485	1347
1505		2275	2203
1506		1181	1675
1507		2068	1956
1508		2388	2192
1509		2798	2905
1510		2141	2165
1511		2538	2122
1512		1898	1594
1513		1311	1482
1514		1859	1102
1515		2234	3202
1516		2690	2817
1517		725	135
1518		1220	581
1519		1324	593
1520		1948	1833
1521		1543	2135
1522		1185	975
1523		2273	2049
1524		1000	1876
1525		2229	2373
1526		2414	1407
1527		1505	2204
1528		544	553
1529		1664	1410
1530		715	994
1531		1191	1480
1532		1343	1027
1533		738	1441
1534		3558	1751
1535		3041	2489
1536		1693	2264
1537		1848	1903
1538		1464	1227
1539		828	1204
1540		1240	1118
1541		1580	1333
1542		2289	1944
1543		1671	2134
1544		2599	2099
1545		184	1400
1546		2081	1889
1547		1111	1549
1548		263	243
1549		1713	2214
1550		1790	2499
1551		5680	3904
1552		1950	2739
1553		2057	1895
1554		1294	874
1555		1496	1453
1556		789	248
1557		753	463
1558		1886	2980
1559		2626	1137
1560		4819	3321
1561		1676	1564
1562		838	1431
1563		415	1450
1564		2170	1762
1565		2462	2528
1566		3137	1061
1567		1197	2102
1568		179	222
1569		113	714
1570		525	598
1571		1523	2050
1572		54	325
1573		716	2031
1574		2712	2671
1575		2555	2324
1576		350	1502
1577		3662	2350
1578		798	1587
1579		994	433
1580		1587	1332
1581		1851	749
1582		657	1494
1583		4688	4252
1584		1686	1619
1585		1896	2114
1586		524	1709
1587		2007	1331
1588		1157	621
1589		2028	2301
1590		1544	2100
1591		2476	1469
1592		493	827
1593		236	1315
1594		887	150
1595		1132	1576
1596		2367	2782
1597		3465	2154
1598		928	1614
1599		3530	2680
1600		1690	1707
1601		1202	1328
1602		210	694
1603		1682	790
1604		543	619
1605		252	861
1606		1534	1752
1607		1920	2001
1608		1403	1484
1609		3255	2725
1610		693	2386
1611		1332	918
1612		2186	2268
1613		1269	1184
1614		2098	1037
1615		1658	1917
1616		191	1897
1617		1406	1391
1618		2497	3008
1619		222	390
1620		293	785
1621		1489	1236
1622		3479	2163
1623		393	371
1624		2383	2279
1625		1161	1093
1626		1663	2052
1627		3616	2710
1628		1894	2531
1629		2454	2033
1630		3392	3182
1631		3338	2937
1632		1655	952
1633		983	1412
1634		535	728
1635		850	1154
1636		2384	2161
1637		1992	1500
1638		515	1795
1639		846	1220
1640		2680	3097
1641		1069	1486
1642		908	1110
1643		859	2016
1644		561	725
1645		3351	2186
1646		2043	2172
1647		3457	2976
1648		1381	2297
1649		4240	2698
1650		919	1633
1651		2679	2404
1652		2613	2612
1653		1656	1428
1654		1902	2200
1655		1439	951
1656		825	1427
1657		1418	1584
1658		2438	1916
1659		1831	2367
1660		2406	2041
1661		1665	2581
1662		2146	1601
1663		1571	2051
1664		1351	1409
1665		2952	2580
1666		155	788
1667		1943	2287
1668		2069	1785
1669		1977	2317
1670		1817	1539
1671		4369	2133
1672		3823	4731
1673		1638	1796
1674		390	1164
1675		2374	1197
1676		443	1563
1677		866	1713
1678		1124	1270
1679		3033	2862
1680		2992	2346
1681		2646	2574
1682		1666	789
1683		2006	1177
1684		1941	1296
1685		229	913
1686		925	1618
1687		2224	1988
1688		4398	2835
1689		3957	2537
1690		625	1706
1691		1822	1644
1692		1677	1714
1693		2983	2263
1694		1763	1340
1695		2171	1718
1696		867	1360
1697		2022	1914
1698		2405	2571
1699		2848	2974
1700		779	824
1701		3273	3056
1702		2824	1147
1703		1601	1329
1704		2516	2464
1705		1961	897
1706		1765	1846
1707		1242	936
1708		2631	2196
1709		1997	889
1710		1309	1403
1711		2426	1301
1712		505	754
1713		2748	2213
1714		1010	1879
1715		848	1374
1716		2703	1560
1717		2830	1930
1718		3475	1932
1719		1754	2039
1720		2278	2590
1721		2928	2259
1722		884	1528
1723		1478	1704
1724		490	1639
1725		2033	1969
1726		2148	1532
1727		2355	2426
1728		2070	1023
1729		1041	2024
1730		2616	1748
1731		3216	3484
1732		1182	1547
1733		2592	1612
1734		711	2766
1735		1345	1461
1736		644	1242
1737		882	1524
1738		1189	1072
1739		1337	1779
1740		2933	1854
1741		2943	1777
1742		1792	2344
1743		395	741
1744		423	923
1745		1750	2180
1746		1924	1557
1747		2319	1681
1748		3060	2619
1749		3837	2849
1750		2198	2179
1751		875	190
1752		498	176
1753		2489	1830
1754		2495	2038
1755		1246	2607
1756		1843	2139
1757		1375	1769
1758		2257	1741
1759		1459	1120
1760		1840	2086
1761		2835	2022
1762		283	286
1763		592	1339
1764		1158	1135
1765		1310	1845
1766		1816	1734
1767		617	660
1768		3922	3379
1769		1282	1351
1770		692	1856
1771		2927	2467
1772		3325	1443
1773		2736	2946
1774		1858	2130
1775		3156	2224
1776		380	300
1777		115	1076
1778		346	441
1779		2239	2117
1780		734	107
1781		578	691
1782		3244	2625
1783		3162	3038
1784		1072	1288
1785		2706	2696
1786		4758	3806
1787		2005	1774
1788		2362	2299
1789		1986	1959
1790		3268	2498
1791		4555	3773
1792		2905	2343
1793		2585	2806
1794		1975	2190
1795		4194	3552
1796		2533	1922
1797		1188	945
1798		2659	2232
1799		2378	1488
1800		1905	2770
1801		3015	2880
1802		2193	385
1803		1983	1827
1804		2308	2399
1805		3093	1688
1806		495	1973
1807		60	2054
1808		1536	2265
1809		1356	1265
1810		268	519
1811		4397	4112
1812		982	983
1813		1117	1624
1814		1386	1817
1815		1266	1066
1816		787	1733
1817		1142	1538
1818		460	1021
1819		2929	2800
1820		25	155
1821		3562	2056
1822		1845	1643
1823		1395	1580
1824		1168	1174
1825		3023	1128
1826		2483	1388
1827		2582	2271
1828		628	395
1829		1504	1348
1830		2416	2867
1831		2854	2366
1832		105	557
1833		768	418
1834		316	1167
1835		1065	1663
1836		1906	2540
1837		3597	2507
1838		2101	1191
1839		1412	1868
1840		63	2085
1841		911	985
1842		282	1475
1843		1212	2138
1844		1369	1152
1845		591	1642
1846		1916	1971
1847		1341	2152
1848		1456	1902
1849		1912	1394
1850		615	637
1851		1192	748
1852		243	481
